"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 11 12:04:37 CEST 2022","Wed May 11 12:04:37 CEST 2022","493","","Home","","Home","Click get started and assert url contains get started","Click get started and assert url contains get started",""
"passed","Wed May 11 12:04:38 CEST 2022","Wed May 11 12:04:38 CEST 2022","353","","Home","","Home","Find heading element and assert txt","Find heading element and assert txt",""
"passed","Wed May 11 12:04:37 CEST 2022","Wed May 11 12:04:38 CEST 2022","626","","Home","","Home","Click on logo and assert that url doesnt contain get started","Click on logo and assert that url doesnt contain get started",""
"failed","Wed May 11 12:04:14 CEST 2022","Wed May 11 12:04:32 CEST 2022","18025","","Home","","Home","Open URL & assert title","Open URL & assert title",""
"passed","Wed May 11 12:04:33 CEST 2022","Wed May 11 12:04:37 CEST 2022","3538","","Home","","Home","Open about page and assert url","Open about page and assert url",""
"failed","Wed May 11 12:04:16 CEST 2022","Wed May 11 12:04:33 CEST 2022","17157","","Home","","Home","Open URL & assert title","Open URL & assert title",""
"passed","Wed May 11 12:04:38 CEST 2022","Wed May 11 12:04:40 CEST 2022","1517","","Home","","Home","Find heading element and assert txt","Find heading element and assert txt",""
"passed","Wed May 11 12:04:32 CEST 2022","Wed May 11 12:04:37 CEST 2022","5075","","Home","","Home","Open about page and assert url","Open about page and assert url",""
"passed","Wed May 11 12:04:37 CEST 2022","Wed May 11 12:04:37 CEST 2022","455","","Home","","Home","Click get started and assert url contains get started","Click get started and assert url contains get started",""
"passed","Wed May 11 12:04:37 CEST 2022","Wed May 11 12:04:38 CEST 2022","626","","Home","","Home","Click on logo and assert that url doesnt contain get started","Click on logo and assert that url doesnt contain get started",""
